tag,fl_qat,distillation,pruning,ptq,fl_acc,fl_f1,fl_prec,fl_rec,fl_size_kb,dist_acc,dist_f1,prune_acc,prune_f1,final_acc,final_f1,final_prec,final_rec,tflite_size_kb,final_size_kb
no_qat__distill_none__prune_10x5__ptq_yes,False,none,prune_10x5,True,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,,,0.9911680126352177,0.9753321472788372,0.8757487260482165,0.6650196834578613,0.6323650184304513,0.7012304890187856,88.4765625,1022.078125
no_qat__distill_none__prune_none__ptq_yes,False,none,prune_none,True,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,,,,,0.7721712310397234,0.5977666123007314,0.43349326109558467,0.9625135014931063,216.0234375,864.109375
yes_qat__distill_none__prune_10x5__ptq_yes,True,none,prune_10x5,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,,,0.4526142086598921,0.3906905001803685,0.7304623476472867,0.5540249862865103,0.39071736560261494,0.9518817375097952,88.4765625,1022.078125
yes_qat__distill_none__prune_none__ptq_yes,True,none,prune_none,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,,,,,0.7233252376553327,0.500359888871698,0.3666305205047319,0.7876612237117987,216.0234375,864.109375
yes_qat__distill_none__prune_none__ptq_no,True,none,prune_none,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,,,,,0.846421759990464,0.3271041765272315,,,802.453125,864.109375
no_qat__distill_progressive__prune_10x5__ptq_no,False,progressive,prune_10x5,False,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.976044491462288,0.9350712288105646,0.9916336382870936,0.9760401109451675,0.9916336382870936,0.9760401109451675,,,37.890625,176.84375
yes_qat__distill_progressive__prune_10x5__ptq_no,True,progressive,prune_10x5,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8605507047709867,0.3441485634197617,0.9791064457490241,0.9432672175751261,0.9791064457490241,0.9432672175751261,,,37.91015625,176.84375
yes_qat__distill_progressive__prune_5x10__ptq_no,True,progressive,prune_5x10,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8613702059182883,0.35046076514939967,0.9781640194296272,0.9409881613916405,0.9781640194296272,0.9409881613916405,,,36.96484375,174.3671875
no_qat__distill_progressive__prune_5x10__ptq_no,False,progressive,prune_5x10,False,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.9778771940280716,0.9401967596088975,0.9772327681258753,0.9369896907216496,0.9772327681258753,0.9369896907216496,,,36.9609375,174.3671875
no_qat__distill_progressive__prune_none__ptq_yes,False,progressive,prune_none,True,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.9759364663110528,0.9347369271801503,,,0.976506392108949,0.9358999115790757,0.8996990776926684,0.9751360738716988,25.8984375,120.0703125
no_qat__distill_progressive__prune_none__ptq_no,False,progressive,prune_none,False,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.9750834401168161,0.932174688960769,,,0.9750834401168161,0.932174688960769,,,82.44921875,120.0703125
yes_qat__distill_progressive__prune_10x2__ptq_no,True,progressive,prune_10x2,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8606401048961468,0.34443120487839074,0.9744352892094049,0.9303142610549829,0.9744352892094049,0.9303142610549829,,,60.1328125,246.9140625
no_qat__distill_progressive__prune_10x2__ptq_no,False,progressive,prune_10x2,False,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.9587418422385792,0.8939202390529823,0.9727664868730816,0.925900775350935,0.9727664868730816,0.925900775350935,,,60.12890625,246.9140625
no_qat__distill_progressive__prune_10x2__ptq_yes,False,progressive,prune_10x2,True,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.9767410674374944,0.9374987487737984,0.9763275918586286,0.9364773147546556,0.9717197604076646,0.924386988825369,0.8724924326458479,0.9828451617002351,19.6484375,246.9140625
yes_qat__distill_progressive__prune_5x10__ptq_yes,True,progressive,prune_5x10,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8613627559078583,0.3504938745593522,0.977568018595226,0.9377030186415078,0.9581234913728879,0.8665859679103769,0.9855318919210733,0.7732596310650824,14.4375,174.3671875
no_qat__distill_progressive__prune_10x5__ptq_yes,False,progressive,prune_10x5,True,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.973470512858718,0.9255363640165614,0.9721593110230354,0.9214783997310472,0.9460209494293292,0.8371010713041133,0.8920220412074749,0.7885507338458606,14.8515625,176.84375
no_qat__distill_progressive__prune_5x10__ptq_yes,False,progressive,prune_5x10,True,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,0.9789388205143488,0.9415172014315563,0.9839862025806836,0.9535077378956818,0.9354344846082785,0.7763397292798431,0.9934610303830912,0.6371010441154669,14.4375,174.3671875
yes_qat__distill_progressive__prune_10x2__ptq_yes,True,progressive,prune_10x2,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8607742050838871,0.3455207676682776,0.977590368626516,0.9385984608789728,0.9335496319694847,0.7673305421867459,0.9987098526515923,0.6229959548467713,19.6484375,246.9140625
yes_qat__distill_progressive__prune_10x5__ptq_yes,True,progressive,prune_10x5,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8614894060851686,0.350860654306763,0.9769869177816849,0.9365382639958911,0.9080184462258247,0.6461560507272336,0.9990251683800071,0.4774975114895059,14.8671875,176.84375
yes_qat__distill_progressive__prune_none__ptq_no,True,progressive,prune_none,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.8611169055636678,0.3484096469765816,,,0.8611169055636678,0.3484096469765816,,,82.453125,120.0703125
yes_qat__distill_progressive__prune_none__ptq_yes,True,progressive,prune_none,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,0.860710879995232,0.3449822201201675,,,0.8592581279613791,0.3335038543632804,0.9979940878378378,0.2002033166020713,25.8984375,120.0703125
