round,accuracy,accuracy_pct,loss,precision,precision_pct,recall,recall_pct,f1_score,f1_pct,client_0_accuracy,client_0_accuracy_pct,client_1_accuracy,client_1_accuracy_pct,client_2_accuracy,client_2_accuracy_pct,client_3_accuracy,client_3_accuracy_pct,total_samples,actual_attack,actual_normal,predicted_attack,predicted_normal,true_positives,true_negatives,false_positives,false_negatives
25,0.8241181969642639,82.41,nan,0.0,0.00,0.0,0.00,0.0,0.00,0.8241201639175415,82.41,0.8241175413131714,82.41,0.8241175413131714,82.41,0.8241175413131714,82.41,67114,11804,55310,0,67114,0,55310,0,11804
26,0.8241181969642639,82.41,nan,0.0,0.00,0.0,0.00,0.0,0.00,0.8241175413131714,82.41,0.8241201639175415,82.41,0.8241175413131714,82.41,0.8241175413131714,82.41,67113,11804,55309,0,67113,0,55309,0,11804
27,0.8241181969642639,82.41,nan,0.0,0.00,0.0,0.00,0.0,0.00,0.8241175413131714,82.41,0.8241175413131714,82.41,0.8241201639175415,82.41,0.8241175413131714,82.41,67113,11804,55309,0,67113,0,55309,0,11804
28,0.8241181969642639,82.41,nan,0.0,0.00,0.0,0.00,0.0,0.00,0.8241175413131714,82.41,0.8241175413131714,82.41,0.8241175413131714,82.41,0.8241201639175415,82.41,67113,11804,55309,0,67113,0,55309,0,11804
29,0.8241181969642639,82.41,nan,0.0,0.00,0.0,0.00,0.0,0.00,0.8241175413131714,82.41,0.8241201639175415,82.41,0.8241175413131714,82.41,0.8241175413131714,82.41,67113,11804,55309,0,67113,0,55309,0,11804
30,0.8241181969642639,82.41,nan,0.0,0.00,0.0,0.00,0.0,0.00,0.8241175413131714,82.41,0.8241175413131714,82.41,0.8241175413131714,82.41,0.8241201639175415,82.41,67113,11804,55309,0,67113,0,55309,0,11804
31,0.8226468116044998,82.26,1.8598512709140778,0.489274632505285,48.93,0.1909733988478482,19.10,0.2747171404220988,27.47,0.8225232362747192,82.25,0.8230175375938416,82.30,0.8225232362747192,82.25,0.8225232362747192,82.25,67113,11804,55309,4593,62520,2243,52959,2350,9561
32,0.8330769538879395,83.31,1.7730658054351807,0.5645708400555813,56.46,0.22269993222636397,22.27,0.319404318379985,31.94,0.8331322073936462,83.31,0.8331322073936462,83.31,0.8331322073936462,83.31,0.8329111933708191,83.29,67113,11804,55309,4639,62474,2622,53292,2017,9182
33,0.8444085270166397,84.44,1.707046389579773,0.6605628220372572,66.06,0.23733480176211452,23.73,0.34918884189300076,34.92,0.8443669676780701,84.44,0.8443669676780701,84.44,0.8445332050323486,84.45,0.8443669676780701,84.44,67113,11804,55309,4205,62908,2782,53886,1423,9022
34,0.8526259958744049,85.26,1.5786714255809784,0.6813909035613164,68.14,0.30443070145713313,30.44,0.4208314635598909,42.08,0.8524429202079773,85.24,0.8524429202079773,85.24,0.8531752228736877,85.32,0.8524429202079773,85.24,67113,11804,55309,5245,61868,3573,53637,1672,8231
35,0.851467490196228,85.15,1.5811153948307037,0.6703341891671442,67.03,0.30595560826838364,30.60,0.42014161198341915,42.01,0.851176381111145,85.12,0.851176381111145,85.12,0.851176381111145,85.12,0.852340817451477,85.23,67113,11804,55309,5364,61749,3590,53535,1774,8214
36,0.8507262170314789,85.07,1.5798441767692566,0.662121385945611,66.21,0.30892070484581496,30.89,0.42128025161208066,42.13,0.8505356907844543,85.05,0.8505356907844543,85.05,0.8505356907844543,85.05,0.8512977957725525,85.13,67113,11804,55309,5483,61630,3628,53454,1855,8176
37,0.8662000596523285,86.62,1.377031296491623,0.7074544884203988,70.75,0.40795493053202303,40.80,0.5174930843945349,51.75,0.8659574389457703,86.60,0.8659574389457703,86.60,0.8659574389457703,86.60,0.8669279217720032,86.69,67113,11804,55309,6790,60323,4799,53318,1991,7005
38,0.872595950961113,87.26,1.2680813670158386,0.7096322866032267,70.96,0.4665155879362928,46.65,0.5629468683082519,56.29,0.8728432059288025,87.28,0.8725135326385498,87.25,0.8725135326385498,87.25,0.8725135326385498,87.25,67114,11804,55310,7778,59336,5524,53056,2254,6280
39,0.8672169595956802,86.72,1.2339503467082977,0.6599594980471947,66.00,0.5055066079295154,50.55,0.5724953078085833,57.25,0.8673301935195923,86.73,0.8671792149543762,86.72,0.8671792149543762,86.72,0.8671792149543762,86.72,67114,11804,55310,9118,57996,6009,52201,3109,5795
40,0.86564502120018,86.56,1.2413022816181183,0.6526505265567765,65.27,0.5047441545238902,50.47,0.5692424578418017,56.92,0.8656594157218933,86.57,0.8656594157218933,86.57,0.8656594157218933,86.57,0.8656018376350403,86.56,67113,11804,55309,9100,58013,5944,52153,3156,5860
41,0.861547440290451,86.15,1.2525018751621246,0.6323633664619809,63.24,0.5083446289393426,50.83,0.5636109478044395,56.36,0.8618171811103821,86.18,0.8614575266838074,86.15,0.8614575266838074,86.15,0.8614575266838074,86.15,67114,11804,55310,9540,57574,6035,51805,3505,5769
42,0.8632274270057678,86.32,1.2460173964500427,0.640020254626085,64.00,0.508196374110471,50.82,0.5665397922519586,56.65,0.8634412884712219,86.34,0.8631561398506165,86.32,0.8631561398506165,86.32,0.8631561398506165,86.32,67114,11804,55310,9423,57691,6031,51918,3392,5773
43,0.8600947111845016,86.01,1.2583523988723755,0.6259509857851934,62.60,0.5083022704168079,50.83,0.5610217497824388,56.10,0.860176146030426,86.02,0.860176146030426,86.02,0.8598504066467285,85.99,0.860176146030426,86.02,67113,11804,55309,9558,57555,5989,51740,3569,5815
44,0.8627133965492249,86.27,1.249575525522232,0.6380395404819759,63.80,0.5071374110471027,50.71,0.5651053584812926,56.51,0.8626197576522827,86.26,0.8626197576522827,86.26,0.8626197576522827,86.26,0.8629943132400513,86.30,67113,11804,55309,9364,57749,5974,51919,3390,5830
45,0.8673734217882156,86.74,1.2361944019794464,0.661575971287724,66.16,0.5034945781091156,50.35,0.5718067876837344,57.18,0.867298424243927,86.73,0.867298424243927,86.73,0.8675984144210815,86.76,0.867298424243927,86.73,67113,11804,55309,8956,58157,5927,52280,3029,5877
46,0.8820426613092422,88.20,1.213407576084137,0.7623887391430765,76.24,0.47846069129108776,47.85,0.5879368495711517,58.79,0.8819453716278076,88.19,0.8819453716278076,88.19,0.8823345303535461,88.23,0.8819453716278076,88.19,67113,11804,55309,7385,59728,5633,53557,1752,6171
47,0.8803924769163132,88.04,1.2337784171104431,0.7590287073603588,75.90,0.4687817688919011,46.88,0.579597774973363,57.96,0.8805167078971863,88.05,0.8803510665893555,88.04,0.8803510665893555,88.04,0.8803510665893555,88.04,67114,11804,55310,7327,59787,5556,53539,1771,6248
48,0.8779339343309402,87.79,1.2686602473258972,0.7565302923677308,75.65,0.45118180277871905,45.12,0.5652513102660557,56.53,0.8778775930404663,87.79,0.8781029582023621,87.81,0.8778775930404663,87.79,0.8778775930404663,87.79,67113,11804,55309,7018,60095,5313,53604,1705,6491
49,0.87652587890625,87.65,1.288699746131897,0.7550461447482602,75.50,0.44105811589291766,44.11,0.5568379013680034,55.68,0.8763279914855957,87.63,0.8763279914855957,87.63,0.8763279914855957,87.63,0.8771195411682129,87.71,67113,11804,55309,6880,60233,5192,53621,1688,6612
50,0.854406550526619,85.44,1.560286670923233,0.6902718380743342,69.03,0.31235174517112846,31.24,0.4300836194991996,43.01,0.8540521264076233,85.41,0.8540521264076233,85.41,0.855469822883606,85.55,0.8540521264076233,85.41,67113,11804,55309,5323,61790,3666,53652,1657,8138
51,0.8527451902627945,85.27,1.5679340660572052,0.6767118606295098,67.67,0.31163165028803796,31.16,0.42673628200579605,42.67,0.852472722530365,85.25,0.853562593460083,85.36,0.852472722530365,85.25,0.852472722530365,85.25,67113,11804,55309,5407,61706,3655,53557,1752,8149
